date,lastSyncTime,steps,distance,runDistance,calories
2019-04-12,1555128688,0,0,0,0
2019-04-13,1555256891,0,0,0,0
2019-04-14,1555302659,843,576,75,25
2019-04-15,1555384520,6158,4287,430,167
2019-04-16,1555473482,17791,13677,462,561
2019-04-17,1555535678,4889,3513,335,146
2019-04-18,1555645656,13788,10476,334,429
2019-04-19,1555708808,6303,4437,383,170
2019-04-20,1555820747,12798,8770,482,321
2019-04-21,1555908860,8255,5675,332,206
2019-04-22,1555990668,13308,9376,601,354
2019-04-23,1556087630,11678,8606,404,325
2019-04-24,1556482140,7048,4904,437,183
2019-04-25,1556482140,6126,4340,471,165
2019-04-26,1556482141,9638,6983,416,263
2019-04-27,1556482142,9509,6472,567,237
2019-04-28,1556502724,8615,5873,519,220
2019-04-29,1556683868,6801,4810,495,185
2019-04-30,1556683869,8280,6157,386,255
2019-05-01,1556774371,5433,3719,332,145
2019-05-02,1557322417,7765,5920,423,254
2019-05-03,1557322417,5485,3945,236,154
2019-05-04,1557322418,6521,4449,400,177
2019-05-05,1557322418,10372,7146,489,262
2019-05-06,1557322418,4821,3404,248,136
2019-05-07,1557322418,5864,4119,336,161
2019-05-08,1557476451,9391,6753,473,263
2019-05-09,1557476453,8332,5796,392,215
2019-05-10,1557554260,14848,11059,315,429
2019-05-11,1557641053,9197,6284,448,237
2019-05-12,1557824047,6248,4268,418,163
2019-05-13,1557824047,13014,9842,265,397
2019-05-14,1557996870,5143,3623,450,135
2019-05-15,1557996871,5915,4308,402,176
2019-05-16,1558240080,10995,8515,312,350
2019-05-17,1558240080,7480,5433,331,215
2019-05-18,1558240081,13438,9358,603,346
2019-05-19,1558410659,12407,8539,583,315
2019-05-20,1558410659,5705,3956,319,148
2019-05-21,1558672825,9538,6686,540,243
2019-05-22,1558672825,8320,5722,322,201
2019-05-23,1558672825,5077,3606,251,135
2019-05-24,1558780669,6878,4794,335,181
2019-05-25,1558849829,5757,3986,410,150
2019-05-26,1559029618,12831,9538,369,370
2019-05-27,1559029618,5539,3821,351,148
2019-05-28,1559225223,5094,3581,261,138
2019-05-29,1559225223,8910,6447,269,233
2019-05-30,1559284763,4385,3109,268,118
2019-05-31,1559543792,7107,4898,441,183
2019-06-01,1559543792,7501,5111,527,195
2019-06-02,1559543792,12424,8884,638,348
2019-06-03,1559713596,9283,6429,334,236
2019-06-04,1559713596,9205,6398,339,229
2019-06-05,1560196619,11052,7894,480,290
2019-06-06,1560196619,12021,9215,254,357
2019-06-07,1560196619,11364,7975,537,290
2019-06-08,1560196619,9154,6293,361,237
2019-06-09,1560196619,8327,5689,491,221
2019-06-10,1560232947,6641,4826,382,187
2019-06-11,1560540959,19682,15153,492,608
2019-06-12,1560540959,5274,3750,227,146
2019-06-13,1560540959,10912,8100,462,312
2019-06-14,1560672639,15387,11922,2191,510
2019-06-15,1560672640,14261,9890,456,364
2019-06-16,1560692298,2026,1378,214,58
