date,lastSyncTime,deepSleepTime,shallowSleepTime,wakeTime,start,stop
2019-04-12,1555128688,0,0,0,1554930000,1554930000
2019-04-13,1555256891,0,0,0,1555016400,1555016400
2019-04-14,1555302659,0,0,0,1555102800,1555102800
2019-04-15,1555384520,156,287,0,1555273620,1555300200
2019-04-16,1555473482,203,307,2,1555353480,1555384200
2019-04-17,1555535678,195,289,0,1555444380,1555473420
2019-04-18,1555645656,277,298,0,1555524360,1555558860
2019-04-19,1555708808,182,163,65,1555621080,1555645680
2019-04-20,1555820747,228,181,0,1555708080,1555732620
2019-04-21,1555908860,202,309,0,1555789620,1555820280
2019-04-22,1555990668,212,317,9,1555875960,1555908240
2019-04-23,1556087630,117,306,0,1555965120,1555990500
2019-04-24,1556482140,229,241,27,1556048820,1556078640
2019-04-25,1556482140,200,260,0,1556136300,1556163900
2019-04-26,1556482141,141,287,2,1556224560,1556250360
2019-04-27,1556482142,131,351,2,1556306160,1556335200
2019-04-28,1556502724,247,278,18,1556392380,1556424960
2019-04-29,1556683868,92,327,0,1556482680,1556507820
2019-04-30,1556683869,147,294,0,1556568480,1556594940
2019-05-01,1556774371,93,360,0,1556656260,1556683440
2019-05-02,1557322417,163,335,2,1556738220,1556768220
2019-05-03,1557322417,221,313,0,1556823780,1556855820
2019-05-04,1557322418,223,240,18,1556917560,1556946420
2019-05-05,1557322418,183,333,0,1556997960,1557028920
2019-05-06,1557322418,231,290,2,1557083520,1557114900
2019-05-07,1557322418,365,130,0,1557169680,1557199380
2019-05-08,1557476451,174,319,4,1557255120,1557284940
2019-05-09,1557476453,203,211,0,1557349380,1557374220
2019-05-10,1557554260,321,194,4,1557429840,1557460980
2019-05-11,1557641053,164,254,0,1557523140,1557548220
2019-05-12,1557824047,252,315,0,1557605280,1557639300
2019-05-13,1557824047,175,180,0,1557699840,1557721140
2019-05-14,1557996870,314,200,0,1557775560,1557806400
2019-05-15,1557996871,250,268,2,1557861420,1557892620
2019-05-16,1558240080,139,280,0,1557954540,1557979680
2019-05-17,1558240080,112,227,0,1558042500,1558062840
2019-05-18,1558240081,240,308,2,1558121760,1558154760
2019-05-19,1558410659,254,210,2,1558211880,1558239840
2019-05-20,1558410659,201,208,0,1558300200,1558324740
2019-05-21,1558672825,239,275,33,1558378260,1558411080
2019-05-22,1558672825,84,356,0,1558471140,1558497540
2019-05-23,1558672825,188,305,15,1558553280,1558583760
2019-05-24,1558780669,95,399,0,1558640700,1558670340
2019-05-25,1558849829,188,269,0,1558727700,1558755120
2019-05-26,1559029618,107,300,19,1558813680,1558839240
2019-05-27,1559029618,260,223,0,1558900620,1558929600
2019-05-28,1559225223,95,373,55,1558983420,1559014800
2019-05-29,1559225223,220,303,3,1559071140,1559102700
2019-05-30,1559284763,233,242,78,1559155920,1559189100
2019-05-31,1559543792,98,321,0,1559249820,1559274960
2019-06-01,1559543792,150,282,4,1559335860,1559362020
2019-06-02,1559543792,236,399,2,1559414880,1559453100
2019-06-03,1559713596,124,393,0,1559502960,1559533980
2019-06-04,1559713596,119,350,2,1559590920,1559619180
2019-06-05,1560196619,193,322,3,1559676480,1559707560
2019-06-06,1560196619,132,330,0,1559764380,1559792100
2019-06-07,1560196619,167,305,0,1559849700,1559878020
2019-06-08,1560196619,253,250,0,1559941260,1559971440
2019-06-09,1560196619,288,260,58,1560020940,1560057300
2019-06-10,1560232947,173,280,0,1560110340,1560137520
2019-06-11,1560540959,239,272,0,1560195720,1560226380
2019-06-12,1560540959,203,222,0,1560286680,1560312180
2019-06-13,1560540959,34,428,0,1560370200,1560397920
2019-06-14,1560672639,155,187,0,1560462480,1560483000
2019-06-15,1560672640,288,296,0,1560542460,1560577500
2019-06-16,1560692298,213,334,13,1560630540,1560664140
